id,cue,t_start,t_end,duration_sec,spoken,visual_mode,text_graphic_type,text_graphic_text,text_graphic_style,artifact_object,artifact_story_link,artifact_preference,editorial_intent,people,situation,date_from,date_to,location,search_queries,avoid,media_type,reuse_id,priority,status
m013,13,42.77,48.95,6.18,"goes into the studio with a brand new singer, and records the second best-selling album in the history of recorded music.",historical,,,,,,,Band after Bon — Brian Johnson era begins; group in studio 1980.,AC/DC|band; Brian Johnson|vocalist,AC/DC with Brian Johnson recording Back in Black 1980,1980,1980,"Nassau, Bahamas",AC/DC Brian Johnson studio 1980 | AC/DC Compass Point Studios Brian Johnson 1980 | Brian Johnson AC/DC recording 1980,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m014,14,49.45,51.03,1.58,50 million copies.,artifact,,,,gold / platinum award disc,Back in Black sales milestone,photo,"Artifact: sales award object — tight on disc/plaque, not band portrait.",,Inanimate: gold / platinum award disc,1980,1982,,gold record award disc close up | platinum album plaque 1980s,people faces prominent | stock explainer | unrelated product,photo,,medium,artifact
m015,15,51.69,53.25,1.56,"But sure, new guy wrote it.",historical,,,,,,,Skeptical beat on Brian — portrait or early AC/DC with Brian.,Brian Johnson|vocalist,Brian Johnson portrait early 1980s,1980,1981,,Brian Johnson 1980 portrait | Brian Johnson AC/DC 1980,courtroom | jury box | office chair | cork board | stock explainer,photo,,medium,needed
m016,16,53.43,55.47,2.04,Cool. Fine. We're just going with that.,artifact,,,,vintage rock tour t-shirt,Tour merch era,photo,Occasional ephemera cut — vinyl/cassette/shirt/amp etc.; keeps energy without another portrait.,,Inanimate: vintage rock tour t-shirt,1975,1985,,vintage concert t-shirt 1979 | rock tour merchandise shirt,people faces prominent | stock explainer | unrelated product,photo,,low,artifact
m017,17,55.47,58.71,3.24,"Wait, nobody finds that a little convenience?",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m020,20,63.45,67.73,4.28,"Bond Scott dies February 19, 1980. 33 years old.",historical,,,,,,,"Bon Scott death — memorial, funeral, or documented public mourning.",Bon Scott|vocalist,Bon Scott funeral or public memorial February 1980 Australia,1980-02,1980-02,"Fremantle, Western Australia",Bon Scott funeral February 1980 | Bon Scott memorial Fremantle 1980 | Bon Scott death 1980 Australia,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m021,21,68.19,69.27,1.08,So Bond Scott dies.,historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,Bon Scott|vocalist,Bon Scott historical photograph 1978-1981,1978,1981,,Bon Scott 1979 photograph | Bon Scott AC/DC 1980,courtroom | jury box | office chair | cork board | stock explainer,photo,m020,low,needed
m022,22,69.71,71.55,1.84,"Five months later, they release Back in Black.",artifact,,,,vinyl LP record,Album release 1980,photo,"Artifact beat: vinyl LP record — story-linked inanimate; prefer no faces, tight macro or detail.",,Inanimate: vinyl LP record,1978,1981,,Back in Black vinyl 1980 | rock album LP sleeve Atlantic,people faces prominent | stock explainer | unrelated product,photo,,low,artifact
m023,23,71.97,73.45,1.48,And it's not just a comeback album.,artifact,,,,electric guitar body close-up,Rock instrumentation,photo,Occasional ephemera cut — vinyl/cassette/shirt/amp etc.; keeps energy without another portrait.,,Inanimate: electric guitar body close-up,1975,1985,,electric guitar body close up sunburst | Gibson SG guitar detail,people faces prominent | stock explainer | unrelated product,photo,,low,artifact
m024,24,73.65,75.11,1.46,It's not pretty good considering.,artifact,,,,vintage microphone on stand,Vocal performance object,photo,Occasional ephemera cut — vinyl/cassette/shirt/amp etc.; keeps energy without another portrait.,,Inanimate: vintage microphone on stand,1975,1985,,vintage microphone SM58 stand | stage microphone close up 1970s,people faces prominent | stock explainer | unrelated product,photo,,low,artifact
m025,25,75.67,79.09,3.42,It is one of the most perfectly constructed rock records ever made.,historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m026,26,79.41,83.69,4.28,"And the story we're supposed to accept is, okay, so there's this guy, Brian Johnson.",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,Brian Johnson|vocalist,Brian Johnson historical photograph 1978-1981,1978,1981,,Brian Johnson 1979 photograph | Brian Johnson AC/DC 1980,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m027,27,83.69,86.75,3.06,Lovely fella. Been knocking around in a band called Geordie.,historical,,,,,,,Geordie era comparison.,Brian Johnson|vocalist; Geordie|band,Geordie band promotional photo 1970s,1973,1978,,Geordie band 1975 | Brian Johnson Geordie,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m028,28,86.87,91.13,4.26,Goes in for an audition and just writes the lyrics that save the entire band.,artifact,,,,handwritten lyrics legal pad,Audition / writing beat,photo,"Artifact beat: handwritten lyrics legal pad — story-linked inanimate; prefer no faces, tight macro or detail.",,Inanimate: handwritten lyrics legal pad,1980,1980,,handwritten lyrics paper legal pad | songwriting notebook pencil,people faces prominent | stock explainer | unrelated product,photo,,medium,artifact
m030,30,94.25,95.69,1.44,But here's the thing about Bond Scott.,historical,,,,,,,Bon as author — candid or performance showing character.,Bon Scott|vocalist,Bon Scott candid photograph 1970s,1974,1979,,Bon Scott portrait 1970s | Bon Scott AC/DC 1978 photograph,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m031,31,95.97,97.53,1.56,"As a writer, he leaves a fingerprint.",historical,,,,,,,Bon as author — candid or performance showing character.,Bon Scott|vocalist,Bon Scott candid photograph 1970s,1974,1979,,Bon Scott portrait 1970s | Bon Scott AC/DC 1978 photograph,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m032,32,97.91,100.95,3.04,Every single thing he ever wrote has that same fingerprint.,historical,,,,,,,Writer identity — Bon with lyrics/paper if archived; else candid pen-in-hand or studio notes.,Bon Scott|vocalist,Bon Scott songwriting lyrics or notebook 1970s,1974,1979,,Bon Scott handwritten lyrics | Bon Scott writing song lyrics 1970s | Bon Scott AC/DC studio 1979,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m033,33,101.51,102.25,0.74,You've got the narrator.,historical,,,,,,,"First-person lyric voice — Bon addressing crowd, mic in hand, direct presence.",Bon Scott|vocalist,Bon Scott addressing audience or press 1978-1979,1978,1979,,Bon Scott microphone addressing crowd 1979 | Bon Scott press interview speaking 1978 | Bon Scott live talking to audience,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m034,34,102.85,105.81,2.96,"Specific guy, bad reputation. He's proud of it.",historical,,,,,,,"Outlaw persona — leather, defiant smirk, backstage or street candid; proud troublemaker.",Bon Scott|vocalist,Bon Scott rebellious image photograph 1970s,1975,1979,,Bon Scott leather jacket photograph 1970s | Bon Scott defiant backstage 1979 | Bon Scott bad reputation press photo,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m035,35,106.09,106.95,0.86,You've got the storytelling.,historical,,,,,,,"Narrative songs — Bon animated on stage (gesture, point) or backstage mid-anecdote.",Bon Scott|vocalist,Bon Scott expressive storytelling gesture live 1979,1978,1979,,Bon Scott AC/DC live stage gesture 1979 | Bon Scott animated performance photograph | Bon Scott backstage talking 1970s,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m036,36,107.47,111.03,3.56,"Always a fight, a conquest, a boast, or a badass woman.",historical,,,,,,,"Fight/conquest/women lyric tropes — fierce Bon on stage (snarl, mic thrust, fist) OR era backstage with female fans; documentary tone, period rock tour, not stock glamour.",Bon Scott|vocalist,Bon Scott aggressive live performance or backstage with fans 1970s,1977,1979,,Bon Scott aggressive live performance 1979 | Bon Scott AC/DC stage snarl microphone | Bon Scott backstage fans 1970s photograph | Bon Scott groupies backstage AC/DC 1979,stock model | modern nightclub | generic bar stock,photo,,high,needed
m037,37,111.03,113.89,2.86,Then you've got the wit. That's always there.,historical,,,,,,,"Comic writer — Bon laughing, smirk, or mid-joke on stage or in interview.",Bon Scott|vocalist,Bon Scott witty expression laughing 1979,1978,1979,,Bon Scott smiling live 1979 | Bon Scott laughing interview photograph | Bon Scott cheeky grin AC/DC,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m038,38,114.39,119.41,5.02,"Clever rhymes, double entendres, puns, tongue firmly planted in cheek half the time.",historical,,,,,,,"Innuendo/wordplay — playful Bon (wink, grin, tongue-in-cheek pose) or Big Balls-era stage wit; not literal infographic.",Bon Scott|vocalist,Bon Scott playful innuendo performance 1979,1978,1979,,Bon Scott wink live performance AC/DC | Bon Scott playful stage expression 1979 | Bon Scott Big Balls live 1979,dictionary | pun chart | explainer graphic,photo,,high,needed
m039,39,119.95,124.99,5.04,"And best of all, you've got this swagger that is just pure distilled bottled energy.",historical,,,,,,,"Pure kinetic Bon — jump, hair, sweat, chaos; definitive high-energy AC/DC live still.",Bon Scott|vocalist; AC/DC|band,Bon Scott explosive AC/DC live performance energy 1979,1979,1979,,Bon Scott jumping live stage 1979 | AC/DC Bon Scott live energy photograph 1979 | Bon Scott AC/DC concert dynamic 1979,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m040,40,125.77,128.03,2.26,"Highway to hell, not a vague rock statement.",historical,,,,,,,Highway to Hell era live — peak Bon Scott stage energy.,Bon Scott|vocalist; AC/DC|band,AC/DC Highway to Hell tour live performance 1979,1979,1979,,AC/DC Highway to Hell tour 1979 | Bon Scott Highway to Hell live 1979,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m041,41,128.35,129.31,0.96,That's a confessional.,historical,,,,,,,"Confessional lyric — intimate Bon portrait (bar, backstage, tired truth-teller).",Bon Scott|vocalist,Bon Scott intimate candid portrait 1970s,1976,1979,,Bon Scott bar candid 1970s | Bon Scott backstage portrait intimate | Bon Scott Australia candid photograph,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m042,42,129.47,133.87,4.4,That's a guy describing his actual lifestyle with zero apology and a grin.,historical,,,,,,,Biographical montage — Bon Scott life in Australia / early AC/DC.,Bon Scott|vocalist,Bon Scott early career Australia 1970s,1970,1979,Australia,Bon Scott 1974 photograph | Bon Scott Fraternity band 1970s | Bon Scott AC/DC early,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m044,44,135.55,138.37,2.82,"Yes, it's filthy, obviously, like a dirty limbric.",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m045,45,138.37,141.73,3.36,But it's also a meticulously constructed double entendre.,historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m046,46,142.29,145.61,3.32,"Crystal chandeliers, distinguished guests, and balls.",artifact,,,,crystal chandelier,Big Balls double-entendre object,photo,"Artifact beat: crystal chandelier — story-linked inanimate; prefer no faces, tight macro or detail.",,Inanimate: crystal chandelier,1978,1979,,crystal chandelier vintage ballroom | chandelier close up ornate,people faces prominent | stock explainer | unrelated product,photo,,medium,artifact
m047,47,146.33,150.63,4.3,He is working two tracks at once for the entire song that is not an accident.,historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m048,48,151.31,152.89,1.58,"Okay, here's an Easter egg.",artifact,,,,guitar amplifier knobs,Rock backline,photo,Occasional ephemera cut — vinyl/cassette/shirt/amp etc.; keeps energy without another portrait.,,Inanimate: guitar amplifier knobs,1975,1985,,guitar amplifier knobs close up | Marshall amplifier vintage,people faces prominent | stock explainer | unrelated product,photo,,low,artifact
m050,50,154.29,157.79,3.5,"Just a few years before his death, Bond was in a motorcycle accident.",historical,,,,,,,Bon Scott motorcycle accident period — historical photos of Bon on bike if available.,Bon Scott|vocalist,Bon Scott motorcycle 1970s,1974,1978,,Bon Scott motorcycle | Bon Scott motorbike 1970s,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m051,51,158.11,158.93,0.82,Nearly kills him.,artifact,,,,concert ticket stub vintage,Live music culture,photo,Occasional ephemera cut — vinyl/cassette/shirt/amp etc.; keeps energy without another portrait.,,Inanimate: concert ticket stub vintage,1975,1985,,vintage concert ticket stub | rock concert ticket 1970s,people faces prominent | stock explainer | unrelated product,photo,,low,artifact
m052,52,159.07,162.39,3.32,"And he tells people privately, not in interviews, not for the press.",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m053,53,162.67,164.01,1.34,Just the people he actually knows.,artifact,,,,peeling rock concert poster,Gig poster wall,photo,Occasional ephemera cut — vinyl/cassette/shirt/amp etc.; keeps energy without another portrait.,,Inanimate: peeling rock concert poster,1975,1985,,peeling concert posters wall | vintage rock poster torn,people faces prominent | stock explainer | unrelated product,photo,,low,artifact
m054,54,164.69,166.83,2.14,I used up one of my nine lives on that one.,historical,,,,,,,Lyric / private metaphor — Bon portrait; optional handwritten lyrics archive.,Bon Scott|vocalist,Bon Scott portrait late 1970s,1977,1979,,Bon Scott 1978 photograph | Bon Scott AC/DC portrait,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m055,55,166.83,169.97,3.14,"His words, private, personal, filed away.",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m057,57,171.87,173.35,1.48,"Okay, now take Brian Johnson.",historical,,,,,,,"Respect beat — Brian performing with AC/DC, early 80s.",Brian Johnson|vocalist,Brian Johnson singing live AC/DC 1981,1980,1982,,Brian Johnson AC/DC live 1981 | Brian Johnson on stage Back in Black tour,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m058,58,173.71,174.89,1.18,"Love the man, genuinely.",artifact,,,,vinyl record on turntable,Rock album culture,photo,Occasional ephemera cut — vinyl/cassette/shirt/amp etc.; keeps energy without another portrait.,,Inanimate: vinyl record on turntable,1975,1985,,vinyl record spinning turntable 1970s | LP record needle drop,people faces prominent | stock explainer | unrelated product,photo,,low,artifact
m059,59,175.31,180.05,4.74,"What he did, walking into that situation, singing those songs with that fire,",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m060,60,180.63,183.53,2.9,"respect, sincere, uneironic respect.",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m061,61,184.25,185.91,1.66,But go listen to Jordy.,historical,,,,,,,Geordie era comparison.,Brian Johnson|vocalist; Geordie|band,Geordie band promotional photo 1970s,1973,1978,,Geordie band 1975 | Brian Johnson Geordie,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m062,62,186.23,190.25,4.02,Go listen to what Brian Johnson sounded like when he was not filling Bond's shoes.,historical,,,,,,,Contrast Brian pre-AC/DC vs in AC/DC.,Brian Johnson|vocalist,Brian Johnson Geordie then AC/DC comparison period,1975,1981,,Brian Johnson Geordie 1976 | Brian Johnson AC/DC 1980 live,courtroom | jury box | office chair | cork board | stock explainer,photo,,medium,needed
m063,63,190.89,192.71,1.82,"All because of you, can you do it?",artifact,,,,audio cassette tape,Pre-digital era,photo,Occasional ephemera cut — vinyl/cassette/shirt/amp etc.; keeps energy without another portrait.,,Inanimate: audio cassette tape,1975,1985,,cassette tape vintage 1980 | audio cassette close up,people faces prominent | stock explainer | unrelated product,photo,,low,artifact
m064,64,193.09,196.21,3.12,"Good songs, competent, professional, fun even.",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m065,65,196.21,198.53,2.32,But the narrator is generic.,artifact,,,,vintage rock tour t-shirt,Tour merch era,photo,Occasional ephemera cut — vinyl/cassette/shirt/amp etc.; keeps energy without another portrait.,,Inanimate: vintage rock tour t-shirt,1975,1985,,vintage concert t-shirt 1979 | rock tour merchandise shirt,people faces prominent | stock explainer | unrelated product,photo,,low,artifact
m066,66,198.87,199.63,0.76,It could be anyone.,artifact,,,,electric guitar body close-up,Rock instrumentation,photo,Occasional ephemera cut — vinyl/cassette/shirt/amp etc.; keeps energy without another portrait.,,Inanimate: electric guitar body close-up,1975,1985,,electric guitar body close up sunburst | Gibson SG guitar detail,people faces prominent | stock explainer | unrelated product,photo,,low,artifact
m067,67,199.85,201.03,1.18,There's no wit underneath.,artifact,,,,vintage microphone on stand,Vocal performance object,photo,Occasional ephemera cut — vinyl/cassette/shirt/amp etc.; keeps energy without another portrait.,,Inanimate: vintage microphone on stand,1975,1985,,vintage microphone SM58 stand | stage microphone close up 1970s,people faces prominent | stock explainer | unrelated product,photo,,low,artifact
m068,68,201.67,202.35,0.68,There's no wink.,artifact,,,,guitar amplifier knobs,Rock backline,photo,Occasional ephemera cut — vinyl/cassette/shirt/amp etc.; keeps energy without another portrait.,,Inanimate: guitar amplifier knobs,1975,1985,,guitar amplifier knobs close up | Marshall amplifier vintage,people faces prominent | stock explainer | unrelated product,photo,,low,artifact
m069,69,202.97,204.69,1.72,They were trying to sound like slayed.,historical,,,,,,,Musical influence reference — UK glam era context photo (Geordie/Slade era).,Geordie|band,UK rock band glam era 1970s promotional,1972,1977,,Geordie band UK 1975 | Slade band 1973 live,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m070,70,204.99,207.01,2.02,Which is a completely valid thing to be.,artifact,,,,concert ticket stub vintage,Live music culture,photo,Occasional ephemera cut — vinyl/cassette/shirt/amp etc.; keeps energy without another portrait.,,Inanimate: concert ticket stub vintage,1975,1985,,vintage concert ticket stub | rock concert ticket 1970s,people faces prominent | stock explainer | unrelated product,photo,,low,artifact
m071,71,207.25,209.45,2.2,But it is not how Bond Scott wrote.,historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,Bon Scott|vocalist,Bon Scott historical photograph 1978-1981,1978,1981,,Bon Scott 1979 photograph | Bon Scott AC/DC 1980,courtroom | jury box | office chair | cork board | stock explainer,photo,m069,low,needed
m073,73,211.89,215.07,3.18,"Okay, now listen to the best songs on Back in Black.",historical,,,,,,,Album deep dive — studio or tour 1980-81.,AC/DC|band,AC/DC Back in Black tour live 1981,1980,1981,,AC/DC Back in Black tour 1981 | AC/DC live 1981 Brian Johnson,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m074,74,215.61,217.27,1.66,Those songs have Bond's fingerprint.,historical,,,,,,,Visual compare — Bon-era vs Brian-era (two-up or sequential).,Bon Scott|vocalist; Brian Johnson|vocalist,Bon Scott and Brian Johnson AC/DC vocalists comparison photos,1979,1981,,Bon Scott 1979 live | Brian Johnson 1980 AC/DC,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m075,75,218.03,220.23,2.2,Those songs are lyrically genius.,artifact,,,,peeling rock concert poster,Gig poster wall,photo,Occasional ephemera cut — vinyl/cassette/shirt/amp etc.; keeps energy without another portrait.,,Inanimate: peeling rock concert poster,1975,1985,,peeling concert posters wall | vintage rock poster torn,people faces prominent | stock explainer | unrelated product,photo,,low,artifact
m076,76,221.07,222.71,1.64,Swagger up the wazoo.,historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,m074,low,needed
m077,77,223.57,224.29,0.72,Back in black.,historical,,,,,,,Album deep dive — studio or tour 1980-81.,AC/DC|band,AC/DC Back in Black tour live 1981,1980,1981,,AC/DC Back in Black tour 1981 | AC/DC live 1981 Brian Johnson,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m078,78,224.29,225.37,1.08,Hell's bells.,historical,,,,,,,Song title — live performance moment same era.,AC/DC|band; Brian Johnson|vocalist,AC/DC performing Hells Bells live early 1980s,1980,1982,,AC/DC Hells Bells live 1981 | AC/DC live 1980 stage bells,courtroom | jury box | office chair | cork board | stock explainer,photo,,medium,needed
m079,79,225.73,227.17,1.44,Let me put my love into you.,artifact,,,,vinyl record on turntable,Rock album culture,photo,Occasional ephemera cut — vinyl/cassette/shirt/amp etc.; keeps energy without another portrait.,,Inanimate: vinyl record on turntable,1975,1985,,vinyl record spinning turntable 1970s | LP record needle drop,people faces prominent | stock explainer | unrelated product,photo,,low,artifact
m083,83,230.83,232.23,1.4,You shook me all night long.,historical,,,,,,,Iconic song — AC/DC live energy (Bon era archive or early Brian era).,AC/DC|band,AC/DC live concert 1979 or 1981 crowd and stage,1979,1981,,AC/DC live 1979 audience | AC/DC concert 1981,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m085,85,232.93,235.57,2.64,It's one of the most perfect rock songs ever written.,historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m089,89,238.75,239.43,0.68,That swagger.,historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,m085,low,needed
m091,91,241.19,244.39,3.2,"If that was Brian Johnson's, what happened to that genius?",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,Brian Johnson|vocalist,Brian Johnson historical photograph 1978-1981,1978,1981,,Brian Johnson 1979 photograph | Brian Johnson AC/DC 1980,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
